Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-26),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,Black Bolt,Cinccino,076/086,Uncommon,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.26,0,false,2026-01-05,
Main,Pokemon,Black Bolt,Meloetta ex,044/086,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.67,0,false,2026-01-04,
Main,Pokemon,Black Bolt,N's Plan,163/086,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.14,0,false,2026-01-04,
Main,Pokemon,Black Bolt,N's Plot (JP),083/086,Uncommon,Poke Ball Reverse Holo,Ungraded,Near Mint,0.0000,1,1.65,0,false,2026-01-05,
Main,Pokemon,Black Bolt,Pawniard,064/086,Common,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.17,0,false,2026-01-05,
Main,Pokemon,Black Bolt,Scolipede (Poke Ball Pattern),059/086,Uncommon,Holofoil,Ungraded,Near Mint,0.0000,1,0.39,0,false,2026-01-05,
Main,Pokemon,Black Bolt,Zekrom ex,034/086,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.72,0,false,2026-01-04,
Main,Pokemon,Brilliant Stars,Grotle,007/172,Uncommon,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.27,0,false,2026-01-05,
Main,Pokemon,Brilliant Stars Trainer Gallery,Ariados,TG09/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.54,0,false,2026-01-04,
Main,Pokemon,Brilliant Stars Trainer Gallery,Zekrom,TG05/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,16.14,0,false,2026-01-04,
Main,Pokemon,Celebrations,Flying Pikachu V,006/025,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.7,0,false,2026-01-13,
Main,Pokemon,Celebrations: Classic Collection,Dark Gyarados,8/82,Classic Collection,Holofoil,CGC 10.0 Gem Mint,Near Mint,0,1,33.01,0,false,2026-01-04,
Main,Pokemon,Celebrations: Classic Collection,M Rayquaza EX,76/108,Classic Collection,Holofoil,Ungraded,Near Mint,0.0000,1,42.2,0,false,2026-01-04,
Main,Pokemon,Chilling Reign,Blaziken V,020/198,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.18,0,false,2026-01-04,
Main,Pokemon,Chilling Reign,Tornadus V,124/198,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.75,0,false,2026-01-04,
Main,Pokemon,Crimson Haze,Poltchageist (JP),068/066,Art Rare,Holofoil,CGC 9.0 Mint,Near Mint,0.0000,1,10,0,false,2026-01-07,
Main,Pokemon,Crimson Invasion,Alolan Raichu,31/111,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.36,0,false,2026-01-04,
Main,Pokemon,Crown Zenith,Rayquaza V,100/159,Ultra Rare,Holofoil,CGC 10.0 Pristine,Near Mint,0,1,40,0,false,2026-01-12,
Main,Pokemon,Crown Zenith,Simisear V,022/159,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.69,0,false,2026-01-04,
Main,Pokemon,Crown Zenith: Galarian Gallery,Hisuian Goodra,GG21/GG70,Holo Rare,Holofoil,CGC 9.5 Mint+,Near Mint,0.0000,1,0,0,false,2026-01-04,
Main,Pokemon,Crown Zenith: Galarian Gallery,Magnezone,GG18/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.89,0,false,2026-01-04,
Main,Pokemon,Crown Zenith: Galarian Gallery,Swablu,GG27/GG70,Holo Rare,Holofoil,CGC 9.5 Mint+,Near Mint,0.0000,1,4.25,0,false,2026-01-04,
Main,Pokemon,Deck Exclusives,Machamp,008/102,Holo Rare,1st Edition Holofoil,Ungraded,Near Mint,0,1,24.67,0,false,2026-01-21,
Main,Pokemon,Destined Rivals,Arboliva ex,207/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,2,2.03,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Arven's Mabosstiff ex,139/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.58,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Cynthia's Garchomp ex,104/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.89,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Dondozo ex,066/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,3,0.56,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Electivire ex,069/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.76,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Electivire ex,212/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.1,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Ethan's Ho-oh ex,039/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,3,0.8,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Ethan's Typhlosion,190/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,25.74,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Marnie's Grimmsnarl ex,136/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.77,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Misty's Gyarados,049/182,Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.35,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Misty's Lapras,194/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,31.74,0,false,2026-01-09,
Main,Pokemon,Destined Rivals,Rabsca ex,025/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.72,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Crobat ex,217/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.55,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Houndoom,191/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,12.81,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Meowth,203/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,26.19,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Moltres ex,031/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.92,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Murkrow,200/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,8.74,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Persian ex,150/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.79,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Team Rocket's Weezing,199/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,7.82,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Yanmega ex,003/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.68,0,false,2026-01-04,
Main,Pokemon,Destined Rivals,Zamazenta,201/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.9,0,false,2026-01-04,
Main,Pokemon,Detective Pikachu,Charmander (Holo Common),4,Common,Holofoil,Ungraded,Near Mint,0.0000,1,0.74,0,false,2026-01-04,
Main,Pokemon,Detective Pikachu,Jigglypuff (Holo Common),14,Common,Holofoil,Ungraded,Near Mint,0.0000,1,0.79,0,false,2026-01-04,
Main,Pokemon,Dragons Exalted,Hydreigon (97),97,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.77,0,false,2026-02-16,
Main,Pokemon,Eevee Heroes,Leafeon VMAX (JP),003/069,Ultra Rare,Holofoil,CGC 9.0 Mint,Near Mint,0.0000,1,11,0,false,2026-01-04,
Main,Pokemon,Evolutions,Arcanine,18/108,Rare,Normal,Ungraded,Near Mint,0.0000,1,0.36,0,false,2026-01-04,
Main,Pokemon,Evolutions,Brock's Grit,74/108,Uncommon,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.33,0,false,2026-01-04,
Main,Pokemon,Evolutions,Charmander,9/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.3,0,false,2026-01-04,
Main,Pokemon,Evolutions,Drowzee,49/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.16,0,false,2026-01-04,
Main,Pokemon,Evolutions,Electabuzz,41/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.23,0,false,2026-01-04,
Main,Pokemon,Evolutions,Growlithe,17/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.21,0,false,2026-01-04,
Main,Pokemon,Evolutions,Machop,57/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.13,0,false,2026-01-04,
Main,Pokemon,Evolutions,Nidoran M,43/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.12,0,false,2026-01-04,
Main,Pokemon,Evolutions,Pikachu,35/108,Common,Normal,Ungraded,Near Mint,0.0000,1,0.94,0,false,2026-01-04,
Main,Pokemon,Evolutions,Starmie,31/108,Rare,Normal,Ungraded,Near Mint,0.0000,1,0.28,0,false,2026-01-04,
Main,Pokemon,Evolutions,Voltorb,39/108,Common,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.49,0,false,2026-01-04,
Main,Pokemon,Evolving Skies,Leafeon VMAX (Secret),204/203,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,43.09,0,false,2026-01-04,
Main,Pokemon,Evolving Skies,Trevenant VMAX,014/203,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.65,0,false,2026-01-04,
Main,Pokemon,Evolving Skies,Vaporeon VMAX,030/203,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,2,12.14,0,false,2026-01-04,
Main,Pokemon,First Partner Collection 2026,First Partner Illustration Collection (Series 1),,,Normal,Ungraded,Near Mint,0,1,61.75,0,false,2026-08-26,
Main,Pokemon,Fusion Strike,Greedent V (Full Art),256/264,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.25,0,false,2026-01-04,
Main,Pokemon,Future Flash,Iron Valiant ex (JP),038/066,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.05,0,false,2026-01-13,
Main,Pokemon,Gem Pack 2,Flareon (CN),0402/14,Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.86,0,false,2026-01-04,
Main,Pokemon,Gym Challenge,Blaine's Growlithe,62,Common,1st Edition,Ungraded,Near Mint,0.0000,1,11.51,0,false,2026-01-04,
Main,Pokemon,Gym Challenge,Blaine's Vulpix,66,Common,1st Edition,Ungraded,Near Mint,0.0000,1,5.84,0,false,2026-01-04,
Main,Pokemon,Gym Heroes,Misty's Psyduck,54,Uncommon,1st Edition,Ungraded,Near Mint,0.0000,1,30.79,0,false,2026-01-04,
Main,Pokemon,Hidden Fates,Starmie GX,14/68,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.08,0,false,2026-01-04,
Main,Pokemon,Inferno X,Mega Charizard X ex,013/080,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.06,0,false,2026-01-04,
Main,Pokemon,Inferno X,Sacred Charm,103/080,Super Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.28,0,false,2026-01-04,
Main,Pokemon,Journey Together,Caterpie,001/159,Common,Normal,Ungraded,Near Mint,0.0000,1,0.12,0,false,2026-01-04,
Main,Pokemon,Journey Together,Hop's Zacian ex,111/159,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.67,0,false,2026-01-04,
Main,Pokemon,Journey Together,Klawf,090/159,Uncommon,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.26,0,false,2026-01-04,
Main,Pokemon,Journey Together,Lycanroc,166/159,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,3.29,0,false,2026-01-04,; 
Main,Pokemon,Journey Together,Mamoswine ex,079/159,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.76,0,false,2026-01-04,
Main,Pokemon,Journey Together,Reshiram ex,030/159,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.86,0,false,2026-01-04,
Main,Pokemon,Journey Together,Salamence ex,114/159,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.79,0,false,2026-01-04,
Main,Pokemon,Journey Together,Tapu Koko ex,051/159,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.6,0,false,2026-01-04,
Main,Pokemon,Journey Together,Volcanion ex,171/159,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.22,0,false,2026-01-04,
Main,Pokemon,Jungle,Nidoran F,57,Common,1st Edition,CGC 9.0 Mint,Near Mint,0.0000,1,10,0,false,2026-01-04,
Main,Pokemon,Jungle,Pikachu,60,Common,1st Edition,Ungraded,Near Mint,0.0000,1,24.96,0,false,2026-01-04,
Main,Pokemon,Legendary Collection,Charmeleon,37,Uncommon,Normal,CGC 9.5 Mint+,Near Mint,0,1,0,0,false,2026-01-04,
Main,Pokemon,Legendary Collection,Charmeleon,37,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.55,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Acerola's Mischief,165/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Garganacl,147/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.53,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Houndstone,145/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,2.94,0,false,2026-01-04,; 
Main,Pokemon,Mega Evolution,Houndstone,145/132,Illustration Rare,Holofoil,CGC 10.0 Pristine,Near Mint,0.0000,1,39.99,0,false,2026-01-07,
Main,Pokemon,Mega Evolution,Ivysaur,134/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,19.63,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Ivysaur,134/132,Illustration Rare,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,36.66,0,false,2026-03-13,
Main,Pokemon,Mega Evolution,Lillie's Determination,169/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,22,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Lillie's Determination,169/132,Ultra Rare,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,13.5,0,false,2026-03-13,
Main,Pokemon,Mega Evolution,Mega Abomasnow ex,036/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,4,0.6,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Absol ex,086/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,3,0.85,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Camerupt ex,022/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.62,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Gardevoir ex,060/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.76,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Kangaskhan ex,182/132,Special Illustration Rare,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,77.9,0,false,2026-03-13,
Main,Pokemon,Mega Evolution,Mega Kangaskhan ex,104/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.99,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Kangaskhan ex,182/132,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,59.56,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Latias ex,100/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.69,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Manectric ex,050/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.74,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Mawile ex,094/132,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,3,0.65,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Signal,171/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,2,1.17,0,false,2026-01-04,; 
Main,Pokemon,Mega Evolution,Mega Venusaur ex,155/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,11.56,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Mega Venusaur ex,155/132,Ultra Rare,Holofoil,BGS 8.5 NM-MT+,Near Mint,0.0000,1,13.32,0,false,2026-03-13,
Main,Pokemon,Mega Evolution,Ralts,058/132,Common,Normal,Ungraded,Near Mint,0.0000,1,0.18,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Riolu,076/132,Common,Normal,Ungraded,Near Mint,0.0000,1,0.19,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Shroodle,149/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.17,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Shuckle,136/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,7.44,0,false,2026-01-04,
Main,Pokemon,Mega Evolution,Spearow,151/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,4.96,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Alakazam,009,Promo,Holofoil,BGS 8.5 NM-MT+,Near Mint,0.0000,1,0,0,false,2026-03-13,
Main,Pokemon,Mega Evolution Promos,Alakazam,009,Promo,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,35,0,false,2026-03-13,
Main,Pokemon,Mega Evolution Promos,Alakazam,009,Promo,Holofoil,Ungraded,Near Mint,0,3,9.79,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Bulbasaur (Mega Evolution Stamped),133/132,Illustration Rare,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,2,169.07,0,false,2026-03-13,; 
Main,Pokemon,Mega Evolution Promos,Bulbasaur (Mega Evolution Stamped),133/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0,2,19.08,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Drifblim,006,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,1.85,0,false,2026-01-05,; 
Main,Pokemon,Mega Evolution Promos,Drifloon,005,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,3.15,0,false,2026-01-05,; 
Main,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,BGS 10.0 Pristine,Near Mint,0.0000,1,470.98,0,false,2026-03-13,
Main,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,Ungraded,Near Mint,0.0000,3,34.92,0,false,2026-01-04,; 
Main,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,BGS 9.0 Mint,Near Mint,0.0000,1,51.74,0,false,2026-03-13,
Main,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,CGC 10.0 Gem Mint,Near Mint,0,1,78.27,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,BGS 9.5 Gem Mint,Near Mint,0,1,119.52,0,false,2026-02-17,
Main,Pokemon,Mega Evolution Promos,Mega Lucario ex,012,Promo,Holofoil,Ungraded,Near Mint,0.0000,3,1.5,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Oricorio ex,024,Promo,Holofoil,Ungraded,Near Mint,0.0000,3,11.34,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Oricorio ex,024,Promo,Holofoil,TAG 10.0 GEM MINT,Near Mint,0,1,95.71,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Oricorio ex,024,Promo,Holofoil,BGS 9.0 Mint,Near Mint,0.0000,1,24.08,0,false,2026-03-13,
Main,Pokemon,Mega Evolution Promos,Oricorio ex,024,Promo,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,55.7,0,false,2026-03-13,
Main,Pokemon,Mega Evolution Promos,Riolu,010,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,9.44,0,false,2026-01-04,
Main,Pokemon,Mega Evolution Promos,Riolu,010,Promo,Holofoil,PSA 9.0 MINT,Near Mint,0.0000,1,25.84,0,false,2026-01-26,
Main,Pokemon,Mega Symphonia,Houndstone,073/063,Art Rare,Holofoil,CGC 10.0 Pristine,Near Mint,0,1,0,0,false,2026-01-04,
Main,Pokemon,Miscellaneous Cards & Products,Kirlia (Cosmos Holo),059/132,Common,Holofoil,Ungraded,Near Mint,0.0000,1,0.41,0,false,2026-01-04,
Main,Pokemon,Miscellaneous Cards & Products,Vanillish (Holiday Calendar),190/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.98,0,false,2026-01-04,
Main,Pokemon,Obsidian Flames,Charizard ex,223/197,Special Illustration Rare,Holofoil,BGS 8.5 NM-MT+,Near Mint,0.0000,1,100,0,false,2026-03-13,
Main,Pokemon,Obsidian Flames,Charizard ex,223/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,110.54,0,false,2026-01-04,
Main,Pokemon,Obsidian Flames,Charizard ex,228/197,Hyper Rare,Holofoil,Ungraded,Near Mint,0.0000,2,36.65,0,false,2026-01-04,; 
Main,Pokemon,Obsidian Flames,Gloom,198/197,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,22.79,0,false,2026-01-04,
Main,Pokemon,Paldea Evolved,Chien-Pao ex,274/193,Hyper Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.83,0,false,2026-01-04,
Main,Pokemon,Paldea Evolved,Wo-Chien ex,257/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,19.25,0,false,2026-01-04,
Main,Pokemon,Paldean Fates,Dondozo,126/091,Shiny Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.41,0,false,2026-01-04,
Main,Pokemon,Paldean Fates,Gardevoir ex,029/091,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.8,0,false,2026-01-04,
Main,Pokemon,Paldean Fates,Nemona,229/091,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.91,0,false,2026-01-04,
Main,Pokemon,Paldean Fates,Palafin,225/091,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.16,0,false,2026-01-04,
Main,Pokemon,Paldean Fates,Paldean Student,231/091,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.64,0,false,2026-01-04,
Main,Pokemon,Paldean Fates,Pawmi,226/091,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,3.2,0,false,2026-01-04,
Main,Pokemon,Paradox Rift,Armarouge ex,027/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,1,0.88,0,false,2026-01-04,
Main,Pokemon,Paradox Rift,Armarouge ex,218/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.38,0,false,2026-01-04,
Main,Pokemon,Paradox Rift,Brute Bonnet,123/182,Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,0.3,0,false,2026-01-05,
Main,Pokemon,Paradox Rift,Joltik,196/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,27.32,0,false,2026-01-04,
Main,Pokemon,Perfect Order,Perfect Order Booster Box,,,Normal,Ungraded,Near Mint,0,1,171.13,0,false,2026-08-26,
